iter	RMSE
0	31792.39403
1	31194.97926
2	30643.57774
3	30122.17847
4	29615.77862
5	29131.86837
6	28673.13792
7	28274.22481
8	27836.72028
9	27394.77675
10	26987.82357
11	26597.76726
12	26222.39539
13	25826.38965
14	25467.82078
15	25128.03989
16	24778.9623
17	24460.38856
18	24122.49756
19	23824.68747
20	23523.64198
21	23242.9804
22	22971.038
23	22702.31188
24	22440.20068
25	22175.57805
26	21924.03934
27	21666.34368
28	21471.57207
29	21224.99856
30	20995.2074
31	20784.89264
32	20632.2787
33	20432.44247
34	20276.38022
35	20071.33583
36	19871.61348
37	19699.16932
38	19556.48269
39	19394.59322
40	19204.10708
41	19065.95619
42	18901.1763
43	18731.22012
44	18566.07426
45	18461.45249
46	18322.74656
47	18166.76367
48	18018.19407
49	17919.13515
50	17764.44859
51	17698.08771
52	17611.70327
53	17542.20154
54	17402.75104
55	17338.64955
56	17204.25148
57	17071.93618
58	16961.53076
59	16833.4421
60	16752.07579
61	16626.21973
62	16523.73863
63	16403.61267
64	16308.7043
65	16193.58285
66	16074.04398
67	15958.69535
68	15847.07289
69	15739.34204
70	15671.54077
71	15563.13115
72	15460.34169
73	15415.66487
74	15333.50575
75	15234.42658
76	15185.37426
77	15140.99313
78	15048.1182
79	14990.93407
80	14899.07587
81	14811.16584
82	14772.55981
83	14744.52372
84	14705.42933
85	14619.54993
86	14589.5664
87	14567.79941
88	14484.79277
89	14439.06354
90	14382.9322
91	14294.16765
92	14226.19616
93	14160.45005
94	14140.09096
95	14059.23891
96	14020.00011
97	13991.04385
98	13973.88654
99	13895.99083
100	13873.21264
101	13852.65367
102	13772.20872
103	13760.60138
104	13726.65378
105	13655.27236
106	13622.63449
107	13545.30234
108	13527.78488
109	13454.59141
110	13379.89471
111	13367.02408
112	13358.82133
113	13350.95857
114	13315.18594
115	13303.65348
116	13293.8775
117	13229.64929
118	13221.1185
119	13208.94448
120	13197.97684
121	13155.42887
122	13145.9479
123	13133.96432
124	13063.85806
125	13032.3247
126	12994.34908
127	12957.36499
128	12950.4081
129	12889.76667
130	12852.19575
131	12826.92137
132	12767.32229
133	12754.4535
134	12736.11332
135	12670.1264
136	12659.79939
137	12625.03329
138	12606.27612
139	12588.577
140	12524.49679
141	12512.5545
142	12449.8763
143	12443.00476
144	12419.1068
145	12406.93579
146	12393.03321
147	12389.31658
148	12324.92347
149	12268.07877
150	12236.05038
151	12212.57394
152	12203.88721
153	12188.11584
154	12175.92744
155	12156.45514
156	12151.9985
157	12138.44
158	12085.58454
159	12071.61747
160	12051.7596
161	12015.82827
162	11964.002
163	11914.15711
164	11865.34967
165	11817.65258
166	11769.6413
167	11724.02292
168	11706.36558
169	11697.06757
170	11643.82255
171	11591.71948
172	11546.77783
173	11525.59055
174	11483.71003
175	11442.76792
176	11394.70444
177	11387.30393
178	11345.94541
179	11307.61095
180	11295.14381
181	11257.80729
182	11221.28303
183	11185.57495
184	11150.63737
185	11116.49176
186	11083.10495
187	11050.43201
188	11038.0657
189	11006.05468
190	10974.44307
191	10943.90758
192	10913.58397
193	10883.3801
194	10853.95634
195	10826.0455
196	10798.40402
197	10764.45951
198	10731.34426
199	10714.08306
200	10688.4737
201	10670.24781
202	10639.97723
203	10608.92944
204	10580.08296
205	10556.67383
206	10550.31864
207	10526.30506
208	10497.7485
209	10468.22436
210	10440.98192
211	10415.90243
212	10408.67246
213	10382.63405
214	10359.03616
215	10335.81716
216	10312.56872
217	10293.95565
218	10275.73938
219	10254.67919
220	10232.24472
221	10212.01396
222	10190.98403
223	10167.71159
224	10147.19146
225	10127.21482
226	10107.68222
227	10088.66576
228	10070.08574
229	10051.99854
230	10037.80241
231	10017.49437
232	9987.192383
233	9967.856341
234	9954.898503
235	9938.757211
236	9924.826941
237	9880.430704
238	9868.576169
239	9855.642276
240	9842.180431
241	9827.917349
242	9813.897113
243	9800.261872
244	9786.854245
245	9773.820034
246	9749.091108
247	9724.98
248	9712.701054
249	9690.153508
250	9678.376152
251	9666.892791
252	9644.175944
253	9623.355367
254	9603.083289
255	9589.553339
256	9580.758695
257	9546.764106
258	9536.771893
259	9505.084014
260	9492.735733
261	9459.452244
262	9440.433086
263	9422.195266
264	9410.624529
265	9399.35696
266	9388.388174
267	9355.874919
268	9338.798204
269	9321.844618
270	9305.532845
271	9273.745855
272	9232.363254
273	9216.639829
274	9186.795154
275	9174.073647
276	9159.250902
277	9131.163023
278	9123.502664
279	9092.207001
280	9080.296649
281	9066.815541
282	9057.401909
283	9043.789904
284	9026.749598
285	9010.69611
286	8978.254353
287	8969.588774
288	8939.651677
289	8932.580185
290	8927.252216
291	8912.231226
292	8883.089333
293	8864.069698
294	8845.721221
295	8836.496333
296	8806.2262
297	8776.766519
298	8763.291489
299	8750.569593
300	8721.848783
301	8703.997312
302	8676.014459
303	8648.783375
304	8622.283939
305	8610.246533
306	8584.438064
307	8567.495532
308	8542.350702
309	8517.882662
310	8506.521163
311	8482.693323
312	8459.507923
313	8436.947722
314	8426.154915
315	8404.18596
316	8388.127197
317	8366.724945
318	8342.202317
319	8321.624897
320	8290.606702
321	8270.556687
322	8260.742381
323	8237.940252
324	8228.828442
325	8209.237327
326	8190.177273
327	8168.598123
328	8162.061434
329	8154.845235
330	8136.48918
331	8092.01846
332	8074.3327
333	8057.128475
334	8041.96383
335	8025.202087
336	8018.921892
337	8012.815592
338	8000.890297
339	7974.121331
340	7957.192959
341	7931.843504
342	7923.670399
343	7907.277689
344	7891.33093
345	7875.817878
346	7857.698967
347	7827.517231
348	7812.53177
349	7797.954222
350	7783.773373
351	7769.978322
352	7763.886926
353	7750.228006
354	7744.291112
355	7738.51822
356	7723.532325
357	7695.738615
358	7681.346902
359	7653.06202
360	7632.20088
361	7618.975272
362	7609.745602
363	7593.594875
364	7584.595938
365	7569.343619
366	7560.564577
367	7545.285704
368	7533.226654
369	7524.643368
370	7510.205127
371	7496.267322
372	7487.875175
373	7477.650722
374	7470.081405
375	7458.267233
376	7450.052299
377	7446.79663
378	7444.575995
379	7431.136869
380	7420.018328
381	7407.171148
382	7396.943215
383	7388.894375
384	7376.516728
385	7366.117447
386	7358.291785
387	7346.290136
388	7336.504382
389	7306.129911
390	7299.003847
391	7287.29738
392	7275.912855
393	7268.232653
394	7257.147549
395	7246.366903
396	7240.389887
397	7228.762491
398	7209.876283
399	7202.330815
400	7195.328801
401	7184.892419
402	7174.742952
403	7168.984673
404	7168.396832
405	7162.850261
406	7155.213654
407	7144.443435
408	7119.003838
409	7118.444051
410	7111.018186
411	7098.810669
412	7090.766727
413	7083.145406
414	7066.042967
415	7056.148249
416	7046.526125
417	7037.168902
418	7031.83334
419	7026.683697
420	7008.101699
421	6999.011654
422	6986.445201
423	6979.123347
424	6978.596957
425	6969.78311
426	6961.211999
427	6956.3559
428	6949.392291
429	6944.797574
430	6936.463535
431	6931.764161
432	6931.270301
433	6923.18101
434	6918.662256
435	6912.164676
436	6907.811304
437	6886.211737
438	6878.32174
439	6870.648774
440	6856.336162
441	6848.900422
442	6844.597067
443	6840.35536
444	6839.929516
445	6831.608254
446	6827.477942
447	6821.474919
448	6817.526222
449	6797.705185
450	6792.108226
451	6784.851439
452	6771.606642
453	6770.417575
454	6748.368449
455	6744.656363
456	6720.660775
457	6712.609627
458	6692.447213
459	6684.559474
460	6677.425039
461	6669.722097
462	6651.544333
463	6644.566941
464	6637.019201
465	6630.22158
466	6622.850532
467	6607.584566
468	6598.965523
469	6591.84683
470	6579.449008
471	6557.491478
472	6550.531184
473	6535.022926
474	6528.209518
475	6520.726682
476	6514.00885
477	6507.340748
478	6487.161149
479	6472.346876
480	6465.887183
481	6449.926213
482	6442.984926
483	6436.655435
484	6430.483233
485	6416.8409
486	6402.480939
487	6397.610577
488	6391.716691
489	6380.655033
490	6362.254009
491	6347.113193
492	6341.293484
493	6335.619155
494	6321.191767
495	6314.050608
496	6308.485909
497	6296.375037
498	6290.926671
499	6285.614828
