iter	Passed	Remaining
0	151	75537
1	177	44100
2	197	32736
3	213	26526
4	231	22887
5	244	20102
6	251	17740
7	260	16045
8	269	14683
9	277	13590
10	285	12708
11	294	11963
12	302	11330
13	310	10776
14	318	10310
15	326	9886
16	335	9523
17	344	9216
18	352	8926
19	360	8654
20	368	8412
21	376	8186
22	385	7989
23	393	7795
24	403	7669
25	412	7525
26	421	7377
27	428	7229
28	437	7102
29	447	7003
30	455	6892
31	464	6787
32	472	6683
33	480	6581
34	521	6925
35	538	6936
36	555	6953
37	564	6858
38	572	6764
39	581	6688
40	589	6601
41	601	6555
42	609	6481
43	618	6406
44	626	6332
45	634	6262
46	642	6189
47	650	6124
48	658	6061
49	667	6005
50	675	5950
51	683	5891
52	692	5837
53	701	5789
54	709	5740
55	718	5697
56	726	5647
57	735	5602
58	743	5556
59	752	5520
60	763	5491
61	774	5468
62	786	5455
63	800	5450
64	812	5438
65	823	5415
66	834	5394
67	845	5371
68	855	5343
69	865	5314
70	874	5282
71	883	5252
72	892	5222
73	902	5195
74	911	5166
75	920	5135
76	930	5109
77	940	5088
78	949	5061
79	960	5040
80	968	5010
81	978	4988
82	987	4962
83	997	4938
84	1005	4911
85	1016	4892
86	1026	4871
87	1034	4844
88	1043	4820
89	1053	4798
90	1062	4775
91	1070	4749
92	1080	4728
93	1089	4706
94	1097	4680
95	1107	4660
96	1116	4639
97	1125	4618
98	1135	4598
99	1144	4576
100	1153	4557
101	1162	4535
102	1171	4513
103	1180	4493
104	1189	4475
105	1199	4458
106	1210	4445
107	1221	4435
108	1234	4428
109	1246	4418
110	1259	4414
111	1272	4408
112	1283	4395
113	1295	4385
114	1305	4370
115	1314	4351
116	1325	4339
117	1334	4319
118	1345	4307
119	1355	4292
120	1364	4275
121	1374	4257
122	1383	4241
123	1392	4222
124	1401	4205
125	1411	4189
126	1422	4178
127	1431	4161
128	1442	4147
129	1451	4130
130	1460	4113
131	1470	4098
132	1478	4079
133	1489	4067
134	1499	4053
135	1508	4036
136	1517	4021
137	1527	4006
138	1537	3992
139	1546	3976
140	1555	3959
141	1564	3943
142	1572	3926
143	1581	3910
144	1591	3896
145	1602	3884
146	1610	3868
147	1620	3853
148	1628	3837
149	1638	3823
150	1648	3811
151	1657	3795
152	1668	3783
153	1676	3767
154	1686	3753
155	1695	3738
156	1704	3724
157	1715	3713
158	1724	3698
159	1735	3687
160	1744	3672
161	1753	3659
162	1763	3646
163	1771	3630
164	1783	3620
165	1791	3603
166	1800	3590
167	1808	3574
168	1818	3561
169	1827	3546
170	1835	3531
171	1845	3519
172	1853	3503
173	1863	3490
